cand,mean_f1,std_f1,max_depth,min_samples_leaf,min_samples_split,max_features,class_weight,n_estimators,random_state
25,0.9902751798426006,0.0013945121499112658,,2,5,sqrt,balanced_subsample,300,42
20,0.9902308140105303,0.0015906967933515827,,2,2,sqrt,balanced,300,42
23,0.9902287505808559,0.001750561224669513,,2,2,0.75,balanced_subsample,300,42
19,0.9901869666628521,0.0013717712022392893,,2,2,sqrt,balanced_subsample,300,42
27,0.9901853498690016,0.0014973563303013122,,2,5,0.5,balanced_subsample,300,42
24,0.9901852075611947,0.0016435243694604004,,2,2,0.75,balanced,300,42
18,0.9901505654739543,0.0015163854952748063,,1,10,0.75,balanced,300,42
31,0.9901479638807963,0.001510546956451607,,2,10,sqrt,balanced_subsample,300,42
32,0.9901462752044239,0.0014025321655607955,,2,10,sqrt,balanced,300,42
62,0.9901350681695256,0.0009579946725415658,12.0,1,5,sqrt,balanced,300,42
57,0.9901338360164861,0.0010001302382553888,12.0,1,2,0.5,balanced_subsample,300,42
34,0.9901018413289441,0.0013456262284906807,,2,10,0.5,balanced,300,42
55,0.9900905361977458,0.0009017640267069725,12.0,1,2,sqrt,balanced_subsample,300,42
29,0.9900109885946289,0.0018504479446712339,,2,5,0.75,balanced_subsample,300,42
33,0.9899706372300272,0.0011963853157903985,,2,10,0.5,balanced_subsample,300,42
61,0.9899599590248996,0.0007455917060485995,12.0,1,5,sqrt,balanced_subsample,300,42
58,0.9899558452419022,0.0010626696240470929,12.0,1,2,0.5,balanced,300,42
36,0.9898836128984417,0.001461871981934777,,2,10,0.75,balanced,300,42
68,0.9896528681379365,0.0014228945566333471,12.0,1,10,sqrt,balanced,300,42
64,0.9896505337581271,0.0011774505536780546,12.0,1,5,0.5,balanced,300,42
35,0.9896203548303746,0.0014916366569649054,,2,10,0.75,balanced_subsample,300,42
70,0.9896071713133757,0.001259151571117645,12.0,1,10,0.5,balanced,300,42
65,0.9896049833813416,0.0015632251365591664,12.0,1,5,0.75,balanced_subsample,300,42
63,0.9896041504216821,0.0014663525185893648,12.0,1,5,0.5,balanced_subsample,300,42
60,0.9896032786101324,0.0015622531995068808,12.0,1,2,0.75,balanced,300,42
59,0.9895573645826834,0.0018129868043534679,12.0,1,2,0.75,balanced_subsample,300,42
67,0.9895197804416149,0.0013994424115369572,12.0,1,10,sqrt,balanced_subsample,300,42
66,0.98946969615702,0.0018152837409337772,12.0,1,5,0.75,balanced,300,42
71,0.9893892913704757,0.0015134546840144308,12.0,1,10,0.75,balanced_subsample,300,42
69,0.9893438710190001,0.00150752720556468,12.0,1,10,0.5,balanced_subsample,300,42
39,0.9893150200847881,0.0015140246582894467,,4,2,0.5,balanced_subsample,300,42
45,0.9893150200847881,0.0015140246582894467,,4,5,0.5,balanced_subsample,300,42
40,0.9893146060546719,0.0016909492655674165,,4,2,0.5,balanced,300,42
46,0.9893146060546719,0.0016909492655674165,,4,5,0.5,balanced,300,42
72,0.9893009714822959,0.0015654693518464217,12.0,1,10,0.75,balanced,300,42
74,0.9892961179743305,0.001009800448527021,12.0,2,2,sqrt,balanced,300,42
75,0.9892507855328191,0.0015935049593471151,12.0,2,2,0.5,balanced_subsample,300,42
77,0.9892476832007422,0.001604562601085936,12.0,2,2,0.75,balanced_subsample,300,42
52,0.9892228544894085,0.0016369680469032128,,4,10,0.5,balanced,300,42
73,0.9892067632033555,0.0012724882513483085,12.0,2,2,sqrt,balanced_subsample,300,42
42,0.9891863122570825,0.0014660511046016367,,4,2,0.75,balanced,300,42
48,0.9891863122570825,0.0014660511046016367,,4,5,0.75,balanced,300,42
41,0.9891861013623761,0.0014917878386095965,,4,2,0.75,balanced_subsample,300,42
47,0.9891861013623761,0.0014917878386095965,,4,5,0.75,balanced_subsample,300,42
80,0.9891638865915313,0.0013704969064292159,12.0,2,5,sqrt,balanced,300,42
82,0.9891201249446284,0.001468464512683889,12.0,2,5,0.5,balanced,300,42
85,0.9891192988134809,0.0013275413901600343,12.0,2,10,sqrt,balanced_subsample,300,42
76,0.989118217325349,0.0015793638672403645,12.0,2,2,0.5,balanced,300,42
79,0.9890745668081307,0.001312495872192828,12.0,2,5,sqrt,balanced_subsample,300,42
78,0.9890735903851778,0.0015428294635577843,12.0,2,2,0.75,balanced,300,42
51,0.989047422559725,0.001770776607305309,,4,10,0.5,balanced_subsample,300,42
84,0.9890323981367442,0.001497565425732317,12.0,2,5,0.75,balanced,300,42
81,0.9890316614404817,0.001589543872827033,12.0,2,5,0.5,balanced_subsample,300,42
86,0.9889902056636014,0.0013444256488323268,12.0,2,10,sqrt,balanced,300,42
88,0.988989012724059,0.0016015022615136665,12.0,2,10,0.5,balanced,300,42
54,0.9889683792531573,0.001618989430144133,,4,10,0.75,balanced,300,42
89,0.9889449026263957,0.0015084738412357154,12.0,2,10,0.75,balanced_subsample,300,42
87,0.9888992373058535,0.0016192084845910234,12.0,2,10,0.5,balanced_subsample,300,42
53,0.988880747048255,0.0016479492915050394,,4,10,0.75,balanced_subsample,300,42
38,0.9888707735066948,0.0018580801270536168,,4,2,sqrt,balanced,300,42
44,0.9888707735066948,0.0018580801270536168,,4,5,sqrt,balanced,300,42
37,0.9888696617143292,0.00141437495527015,,4,2,sqrt,balanced_subsample,300,42
43,0.9888696617143292,0.00141437495527015,,4,5,sqrt,balanced_subsample,300,42
49,0.9888261405073916,0.0016864621246889169,,4,10,sqrt,balanced_subsample,300,42
50,0.9888239608914224,0.0013633156505554246,,4,10,sqrt,balanced,300,42
83,0.9888093186974588,0.0012451370136756395,12.0,2,5,0.75,balanced_subsample,300,42
90,0.9887669756010766,0.0013061057081108494,12.0,2,10,0.75,balanced,300,42
108,0.9885117503768847,0.0014241367850540876,12.0,4,10,0.75,balanced,300,42
92,0.9884633392994312,0.0017655122512467282,12.0,4,2,sqrt,balanced,300,42
98,0.9884633392994312,0.0017655122512467282,12.0,4,5,sqrt,balanced,300,42
91,0.9884627179275821,0.0017067549089879743,12.0,4,2,sqrt,balanced_subsample,300,42
97,0.9884627179275821,0.0017067549089879743,12.0,4,5,sqrt,balanced_subsample,300,42
96,0.988420839946242,0.0014267528095764275,12.0,4,2,0.75,balanced,300,42
102,0.988420839946242,0.0014267528095764275,12.0,4,5,0.75,balanced,300,42
104,0.9884189439644693,0.0014650142196256995,12.0,4,10,sqrt,balanced,300,42
103,0.9883771471795255,0.0015916826370164642,12.0,4,10,sqrt,balanced_subsample,300,42
93,0.9883752565433351,0.0012709543297156202,12.0,4,2,0.5,balanced_subsample,300,42
99,0.9883752565433351,0.0012709543297156202,12.0,4,5,0.5,balanced_subsample,300,42
94,0.9883304165808889,0.001529989869932857,12.0,4,2,0.5,balanced,300,42
