AND Count,Constant Value Count,Double Quote Count,OR Count,Parentheses Count,Sentence Length,Single Quote Count,Special Characters Total,UNION Count,e_conn_count,e_dns_ratio,e_http_ratio,e_interarrival_std,e_mean_duration,e_mean_orig_bytes,e_mean_orig_pkts,e_mean_resp_bytes,e_mean_resp_pkts,e_rej_ratio,e_rst_ratio,e_ssl_ratio,e_std_duration,e_tcp_ratio,e_udp_ratio,e_unique_dst_ip,e_unique_dst_port,y
1,18,0,0,36,396,4,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
0,0,0,0,0,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1,2,0,0,2,47,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
0,0,0,0,4,56,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0,0,0,0,0,0,0,0,0,4,1.0,0.0,0.0072156133641872,0.01946425,33.0,1.0,52.0,1.0,0.0,0.0,0.0,0.001517290574511,0.0,1.0,1,1,0
0,16,0,1,32,333,0,20,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
1,6,0,1,8,92,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
0,0,0,0,2,44,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0,0,0,0,0,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0,0,0,0,2,42,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0,0,0,0,0,31,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0,2,1,1,7,192,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
0,0,0,0,0,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1,2,0,0,4,120,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
0,0,0,0,0,86,2,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0,0,0,0,0,6,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0,0,0,0,0,0,0,0,0,8,1.0,0.0,1.173631898825526,0.020937875,35.25,1.0,126.5,1.0,0.0,0.0,0.0,0.0029431962403779,0.0,1.0,1,1,0
2,2,0,0,14,128,4,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
0,0,0,0,0,7,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0,0,0,0,0,0,0,0,0,4,1.0,0.0,0.0090174316004084,0.0567525,44.5,1.0,283.5,1.0,0.0,0.0,0.0,0.0131289887177192,0.0,1.0,1,1,0
0,0,0,0,0,95,2,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0,0,0,0,0,26,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0,0,0,0,0,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0,0,0,0,0,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1,0,0,0,0,61,4,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,3.033196,204.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2
2,2,0,0,6,205,4,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,1.2096575,0.0,1.0,0.0,0.5,0.5,0.5,0.0,1.2096575,1.0,0.0,1,1,2
0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,3.047976,204.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2
0,0,0,0,0,15,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0,1,0,0,0,51,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0,3,1,0,2,42,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
0,0,0,0,4,179,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0,0,0,0,0,0,0,0,0,5,0.8,0.0,0.9809369526748984,42.7921482,390.0,6.8,1730.8,8.4,0.0,0.0,0.2,85.50252377724512,0.2,0.8,2,2,0
