dataset_id,window_start,e_conn_count,e_unique_dst_ip,e_unique_dst_port,e_mean_duration,e_std_duration,e_mean_orig_bytes,e_mean_resp_bytes,e_mean_orig_pkts,e_mean_resp_pkts,e_tcp_ratio,e_udp_ratio,e_dns_ratio,e_ssl_ratio,e_http_ratio,e_rej_ratio,e_rst_ratio,e_interarrival_std,y
example1,1609955140,1,1,1,109.989213,0.0,7061.0,1626.0,13.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2
example1,1609955195,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
example1,1609955200,2,2,2,0.8001,0.641149,1172.5,2319.5,5.5,5.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,2
example1,1609955255,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
example1,1609955260,1,1,1,0.082478,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2
example1,1609955275,1,1,1,0.305398,0.0,68.0,50.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2
example1,1609955545,1,1,1,0.642616,0.0,359.0,194.0,8.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
example1,1609955660,1,1,1,0.410658,0.0,99.0,169.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
example1,1609955910,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
example1,1609956095,1,1,1,110.01835,0.0,7119.0,2842.0,14.0,8.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2
example1,1609956210,1,1,1,0.111303,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2
example1,1609956235,1,1,1,0.130546,0.0,34.0,50.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2
example1,1609956300,2,2,2,0.2529095,0.1422945,525.5,2043.0,6.5,5.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,2
example1,1609956630,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
example1,1609957000,2,2,2,0.3854875,0.25563650000000004,1150.5,2319.5,5.0,4.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,2
example1,1609957040,1,1,1,110.010887,0.0,23973.0,596758.0,221.0,453.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2
example1,1609957045,10,3,2,0.2374628,0.08924569425445691,65.6,1158.4,2.3,2.1,0.9,0.1,0.1,0.2,0.0,0.7,0.9,0.24940508177159063,2
example1,1609957050,4,2,2,24.821046499999998,42.53701383030693,10087.25,1685.0,11.0,6.5,1.0,0.0,0.0,0.0,0.25,0.75,0.75,0.31152432963095694,2
example1,1609957155,2,2,2,0.048399,0.048399,0.0,0.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,2
example1,1609957160,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
example1,1609957175,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
